epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,9.09355,2.19296,4.58875,1.40741,0.44267,0.38521,0.35458,0.15487,1.64379,2.14482,1.21778,0.00196,0.000653333,0.00196,0.000653333,0.00196,0.000653333,0.00196,0.000653333
2,17.0113,2.01832,1.70643,1.29338,0.57381,0.46013,0.47114,0.21274,1.65333,1.42919,1.15252,0.00388159,0.00129386,0.00388159,0.00129386,0.00388159,0.00129386,0.00388159,0.00129386
3,24.6654,1.96938,1.37459,1.20192,0.58366,0.47839,0.48918,0.22657,1.70134,1.33587,1.12342,0.00572398,0.00190799,0.00572398,0.00190799,0.00572398,0.00190799,0.00572398,0.00190799
4,32.0962,1.88273,1.25899,1.16349,0.58665,0.50624,0.49067,0.21606,1.71096,1.34482,1.12664,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
5,39.4325,1.90001,1.20193,1.14696,0.59874,0.48511,0.49843,0.23186,1.74946,1.31164,1.14256,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
6,46.9273,1.88667,1.16429,1.14262,0.65211,0.48797,0.49875,0.22648,1.75273,1.30317,1.1402,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
7,54.2905,1.80881,1.08553,1.12938,0.7117,0.48895,0.5271,0.24408,1.70987,1.29552,1.12379,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
8,61.7321,1.80251,1.05438,1.12006,0.63621,0.52257,0.51554,0.23693,1.71515,1.29576,1.13006,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
9,68.9393,1.7915,1.02464,1.10839,0.66898,0.51251,0.53289,0.23762,1.77025,1.2759,1.15624,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
10,76.3329,1.77172,0.99422,1.11034,0.67192,0.50432,0.52136,0.22754,1.80181,1.31529,1.15674,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
11,83.2383,1.74781,0.98589,1.10383,0.66564,0.49532,0.54055,0.24749,1.74875,1.30006,1.14303,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
12,90.0794,1.7751,0.99353,1.09871,0.67368,0.50769,0.54674,0.23702,1.79368,1.32085,1.16763,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
13,96.8084,1.72195,0.9416,1.08638,0.66214,0.49183,0.51447,0.22198,1.83919,1.29833,1.17607,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
14,103.562,1.69458,0.9056,1.06568,0.64669,0.49952,0.53956,0.2332,1.81832,1.31914,1.16406,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
15,110.272,1.6904,0.91198,1.07347,0.68609,0.50809,0.55277,0.2384,1.82072,1.32562,1.17411,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
16,117.068,1.6496,0.88075,1.05601,0.66261,0.50336,0.53002,0.21727,1.9226,1.35578,1.20508,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
17,123.741,1.67082,0.87299,1.05646,0.69457,0.48799,0.55469,0.2353,1.8267,1.32748,1.17725,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
18,130.512,1.66626,0.88637,1.05002,0.6746,0.50528,0.54432,0.23737,1.81669,1.32167,1.16872,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
19,137.231,1.68964,0.88641,1.06321,0.67223,0.49183,0.51793,0.21924,1.91024,1.34408,1.19954,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
20,143.985,1.61296,0.85043,1.03859,0.69806,0.49183,0.5275,0.23053,1.84124,1.35731,1.18186,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
21,150.742,1.59027,0.8331,1.03333,0.65134,0.49529,0.52566,0.22804,1.86363,1.31346,1.17894,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
22,157.434,1.60213,0.83251,1.03122,0.6804,0.48415,0.52888,0.22711,1.94058,1.33187,1.20258,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
23,164.171,1.59183,0.81137,1.02971,0.66156,0.49947,0.52915,0.23016,1.89337,1.3392,1.17441,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
24,170.967,1.54391,0.80324,1.02367,0.66418,0.51201,0.52595,0.22606,1.89172,1.35807,1.18532,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
25,177.584,1.54469,0.79757,1.02283,0.67665,0.50913,0.53409,0.22804,1.88703,1.32243,1.18717,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
26,184.333,1.53646,0.7887,1.01315,0.66963,0.50336,0.52934,0.22946,1.90993,1.34247,1.19564,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
